[2024-09-06T13:51:01.863+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-09-06T13:51:01.878+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: async_flow.polling_task manual__2024-09-06T13:51:01.227845+00:00 [queued]>
[2024-09-06T13:51:01.887+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: async_flow.polling_task manual__2024-09-06T13:51:01.227845+00:00 [queued]>
[2024-09-06T13:51:01.888+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2024-09-06T13:51:01.896+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): polling_task> on 2024-09-06 13:51:01.227845+00:00
[2024-09-06T13:51:01.900+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=85) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-09-06T13:52:24.389+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:26.400+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:28.420+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:30.427+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:32.432+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:34.438+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:36.456+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:38.465+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:40.483+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:42.499+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:44.507+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:46.522+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:48.538+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:50.553+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:52.569+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:54.586+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:56.596+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:52:58.609+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:00.617+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:02.625+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:04.635+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:06.641+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:08.646+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:10.654+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:12.665+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:14.677+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:16.684+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:18.693+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:20.701+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:22.711+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:24.721+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:26.731+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:28.741+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:30.755+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:32.771+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:34.779+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:36.790+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:38.796+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:40.813+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:42.824+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:44.840+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:46.854+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:48.871+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:50.888+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:52.907+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:54.916+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:56.930+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:53:58.949+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:00.960+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:02.976+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:04.988+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:06.993+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:09.007+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:11.025+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:13.040+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:15.049+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:17.060+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:19.072+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:21.083+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:23.093+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:25.106+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:27.120+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:29.131+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:31.145+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:33.164+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:35.174+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:37.187+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:39.197+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:41.203+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:43.220+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:45.226+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:47.243+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:49.261+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:51.277+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:53.291+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:55.301+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:57.315+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:54:59.329+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:01.340+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:03.351+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:05.357+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:07.369+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:09.375+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:11.386+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:13.394+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:15.403+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:17.418+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:19.429+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:21.442+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:23.457+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:25.464+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:27.476+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:29.483+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:31.489+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:33.498+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:35.504+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:37.510+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:39.529+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:41.537+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:43.543+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:45.550+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:47.561+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:49.573+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:51.586+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:53.598+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:55.604+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:57.610+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:55:59.616+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:01.622+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:03.631+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:05.636+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:07.646+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:09.654+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:11.661+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:13.665+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:15.670+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:17.677+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:19.682+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:21.689+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:23.702+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:25.722+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:27.738+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:29.751+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:31.762+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:33.781+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:35.788+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:37.803+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:39.818+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:41.829+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:43.842+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:45.849+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:47.854+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:49.872+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:51.887+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:53.904+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:55.910+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:57.926+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:56:59.943+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:01.954+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:03.968+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:05.984+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:07.993+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:10.002+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:12.011+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:14.020+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:16.030+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:18.036+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:20.047+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:22.062+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:24.080+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:26.086+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:28.097+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:30.113+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:32.131+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:34.144+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:36.151+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:38.170+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:40.180+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:42.190+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:44.200+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:46.207+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:48.212+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:50.218+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:52.232+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:54.239+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:56.248+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:57:58.254+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:00.265+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:02.318+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:04.327+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:06.334+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:08.343+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:10.359+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:12.376+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:14.383+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:16.388+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:18.403+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:20.411+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:22.426+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:24.445+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:26.454+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:28.467+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:30.479+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:32.489+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:34.503+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:36.514+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:38.523+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:40.535+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:42.550+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:44.566+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:46.581+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:48.593+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:50.600+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:52.606+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:54.612+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:56.618+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:58:58.633+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:59:00.644+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:59:02.658+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:59:04.665+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:59:06.675+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:59:08.682+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:59:10.688+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:59:12.703+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:59:14.716+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
[2024-09-06T13:59:16.731+0000] {dags_async_flow.py:55} INFO - Async task not yet complete, waiting...
