[2024-09-06T13:44:28.210+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-09-06T13:44:28.222+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: async_flow.polling_task manual__2024-09-06T13:44:27.032003+00:00 [queued]>
[2024-09-06T13:44:28.229+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: async_flow.polling_task manual__2024-09-06T13:44:27.032003+00:00 [queued]>
[2024-09-06T13:44:28.230+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 2
[2024-09-06T13:44:28.239+0000] {taskinstance.py:2888} INFO - Executing <Task(PythonOperator): polling_task> on 2024-09-06 13:44:27.032003+00:00
[2024-09-06T13:44:28.251+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=79) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-09-06T13:44:28.252+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'async_flow', 'polling_task', 'manual__2024-09-06T13:44:27.032003+00:00', '--job-id', '91', '--raw', '--subdir', 'DAGS_FOLDER/dags_async_flow.py', '--cfg-path', '/tmp/tmpm7_vh_we']
[2024-09-06T13:44:28.256+0000] {standard_task_runner.py:72} INFO - Started process 82 to run task
[2024-09-06T13:44:28.257+0000] {standard_task_runner.py:105} INFO - Job 91: Subtask polling_task
[2024-09-06T13:44:28.299+0000] {task_command.py:467} INFO - Running <TaskInstance: async_flow.polling_task manual__2024-09-06T13:44:27.032003+00:00 [running]> on host 77c839e1a559
[2024-09-06T13:44:28.339+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='async_flow' AIRFLOW_CTX_TASK_ID='polling_task' AIRFLOW_CTX_EXECUTION_DATE='2024-09-06T13:44:27.032003+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-09-06T13:44:27.032003+00:00'
[2024-09-06T13:44:28.340+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-09-06T13:44:28.376+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:44:30.383+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:44:32.439+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:44:34.458+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:44:36.476+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:44:38.490+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:44:40.501+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:44:42.514+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:44:44.541+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:44:46.553+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:44:48.563+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:44:50.577+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:44:52.595+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:44:54.621+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:44:56.630+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:44:58.635+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:45:00.642+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:45:02.648+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:45:04.658+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:45:06.668+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:45:08.679+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:45:10.690+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:45:12.697+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:45:14.702+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:45:16.707+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:45:18.717+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
[2024-09-06T13:45:20.727+0000] {dags_async_flow.py:58} INFO - Async task not yet complete, waiting...
